2022/10/07 03:15:04 buildTime 3.137266444         cpuLoad: 0.03%		 ramLoad: 60.46%		
2022/10/07 03:20:04 buildTime 2.929208838         cpuLoad: 0.11%		 ramLoad: 60.35%		
2022/10/07 03:25:04 buildTime 2.872106410         cpuLoad: 0.00%		 ramLoad: 60.46%		
2022/10/07 03:30:05 buildTime 3.419543760         cpuLoad: 0.32%		 ramLoad: 60.97%		
2022/10/07 03:35:04 buildTime 2.867910959         cpuLoad: 0.16%		 ramLoad: 60.14%		
2022/10/07 03:40:04 buildTime 2.837547934         cpuLoad: 0.02%		 ramLoad: 60.25%		
2022/10/07 03:45:04 buildTime 2.839834952         cpuLoad: 0.02%		 ramLoad: 60.25%		
2022/10/07 03:50:04 buildTime 2.877625430         cpuLoad: 0.08%		 ramLoad: 59.42%		
2022/10/07 03:55:04 buildTime 2.883009515         cpuLoad: 0.01%		 ramLoad: 60.25%		
2022/10/07 04:00:08 buildTime 6.357262728         cpuLoad: 0.03%		 ramLoad: 60.56%		
2022/10/07 04:05:05 buildTime 3.317617576         cpuLoad: 0.14%		 ramLoad: 62.94%		
2022/10/07 04:10:04 buildTime 2.926853501         cpuLoad: 0.18%		 ramLoad: 61.39%		
2022/10/07 04:15:04 buildTime 2.824698633         cpuLoad: 0.00%		 ramLoad: 60.35%		
2022/10/07 04:20:04 buildTime 2.972764216         cpuLoad: 0.00%		 ramLoad: 61.08%		
2022/10/07 04:25:04 buildTime 2.873970795         cpuLoad: 0.02%		 ramLoad: 60.14%		
2022/10/07 04:30:04 buildTime 3.511098850         cpuLoad: 0.09%		 ramLoad: 59.83%		
2022/10/07 04:35:04 buildTime 2.870347802         cpuLoad: 0.05%		 ramLoad: 60.04%		
2022/10/07 04:40:04 buildTime 3.045539439         cpuLoad: 0.00%		 ramLoad: 61.18%		
2022/10/07 04:45:04 buildTime 2.829281739         cpuLoad: 0.07%		 ramLoad: 60.14%		
2022/10/07 04:50:04 buildTime 2.825745474         cpuLoad: 0.00%		 ramLoad: 60.04%		
2022/10/07 04:55:04 buildTime 2.842947281         cpuLoad: 0.02%		 ramLoad: 60.56%		
2022/10/07 05:00:07 buildTime 5.364866345         cpuLoad: 0.25%		 ramLoad: 62.01%		
2022/10/07 05:05:04 buildTime 2.877148449         cpuLoad: 0.00%		 ramLoad: 61.08%		
2022/10/07 05:10:04 buildTime 2.889281946         cpuLoad: 0.03%		 ramLoad: 61.28%		
2022/10/07 05:15:04 buildTime 2.842256803         cpuLoad: 0.06%		 ramLoad: 61.39%		
2022/10/07 05:20:04 buildTime 2.832340915         cpuLoad: 0.07%		 ramLoad: 61.39%		
2022/10/07 05:25:03 buildTime 2.856626388         cpuLoad: 0.05%		 ramLoad: 61.08%		
2022/10/07 05:30:05 buildTime 3.914783378         cpuLoad: 0.01%		 ramLoad: 61.28%		
2022/10/07 05:35:04 buildTime 3.015303695         cpuLoad: 0.13%		 ramLoad: 61.18%		
2022/10/07 05:40:04 buildTime 2.943696732         cpuLoad: 0.00%		 ramLoad: 61.28%		
2022/10/07 05:45:04 buildTime 2.855410672         cpuLoad: 0.12%		 ramLoad: 60.87%		
2022/10/07 05:50:04 buildTime 2.866831424         cpuLoad: 0.04%		 ramLoad: 60.66%		
2022/10/07 05:55:04 buildTime 2.896662664         cpuLoad: 0.18%		 ramLoad: 60.66%		
2022/10/07 06:00:05 buildTime 3.882087257         cpuLoad: 0.24%		 ramLoad: 60.77%		
2022/10/07 06:05:04 buildTime 2.969947102         cpuLoad: 0.00%		 ramLoad: 60.35%		
2022/10/07 06:10:04 buildTime 2.953072614         cpuLoad: 0.01%		 ramLoad: 60.56%		
2022/10/07 06:15:04 buildTime 3.058538902         cpuLoad: 0.06%		 ramLoad: 60.56%		
2022/10/07 06:20:04 buildTime 2.965129605         cpuLoad: 0.03%		 ramLoad: 60.04%		
2022/10/07 06:25:04 buildTime 2.986193307         cpuLoad: 0.01%		 ramLoad: 60.66%		
2022/10/07 06:30:05 buildTime 3.050850191         cpuLoad: 0.10%		 ramLoad: 60.35%		
2022/10/07 06:35:04 buildTime 2.912571509         cpuLoad: 0.00%		 ramLoad: 60.46%		
2022/10/07 06:40:04 buildTime 2.946063874         cpuLoad: 0.02%		 ramLoad: 60.25%		
2022/10/07 06:45:04 buildTime 2.840805716         cpuLoad: 0.00%		 ramLoad: 60.25%		
2022/10/07 06:50:04 buildTime 2.973843914         cpuLoad: 0.09%		 ramLoad: 60.25%		
2022/10/07 06:55:04 buildTime 2.952394169         cpuLoad: 0.01%		 ramLoad: 60.56%		
2022/10/07 07:00:07 buildTime 5.658864459         cpuLoad: 0.04%		 ramLoad: 60.56%		
2022/10/07 07:05:04 buildTime 2.876958736         cpuLoad: 0.00%		 ramLoad: 60.14%		
2022/10/07 07:10:04 buildTime 3.064978616         cpuLoad: 0.00%		 ramLoad: 60.25%		
2022/10/07 07:15:05 buildTime 3.279560464         cpuLoad: 0.27%		 ramLoad: 60.87%		
2022/10/07 07:20:04 buildTime 3.163163789         cpuLoad: 0.13%		 ramLoad: 62.11%		
2022/10/07 07:25:04 buildTime 3.025948123         cpuLoad: 0.02%		 ramLoad: 58.18%		
2022/10/07 07:30:05 buildTime 3.774191726         cpuLoad: 0.11%		 ramLoad: 58.39%		
2022/10/07 07:35:04 buildTime 2.909893655         cpuLoad: 0.01%		 ramLoad: 59.11%		
2022/10/07 07:40:04 buildTime 3.013590378         cpuLoad: 0.33%		 ramLoad: 59.42%		
2022/10/07 07:45:04 buildTime 2.944765224         cpuLoad: 0.00%		 ramLoad: 59.42%		
2022/10/07 07:50:04 buildTime 3.062382757         cpuLoad: 0.01%		 ramLoad: 59.42%		
2022/10/07 07:55:04 buildTime 2.963574874         cpuLoad: 0.04%		 ramLoad: 59.63%		
2022/10/07 08:00:08 buildTime 6.713229992         cpuLoad: 0.16%		 ramLoad: 60.04%		
2022/10/07 08:05:05 buildTime 3.296594407         cpuLoad: 0.05%		 ramLoad: 62.11%		
2022/10/07 08:10:04 buildTime 2.929328527         cpuLoad: 0.00%		 ramLoad: 60.77%		
2022/10/07 08:15:05 buildTime 2.964038039         cpuLoad: 0.13%		 ramLoad: 60.46%		
2022/10/07 08:20:04 buildTime 3.085959169         cpuLoad: 0.32%		 ramLoad: 64.49%		
